Antioquia,0,CO05,6677930
Atlantico,1,CO08,2722128
"Bogota, D.C.",2,CO11,7743955
Boli­var,3,CO13,2180976
Boyaca,4,CO15,1242731
Caldas,5,CO17,1018453
Caqueta,6,CO18,410521
Cauca,7,CO19,1491937
Cesar,8,CO20,1295387
Cordoba,9,CO23,1828947
Cundinamarca,10,CO25,3242999
Choco,11,CO27,544764
Huila,12,CO41,1122622
La Guajira,13,CO44,965718
Magdalena,14,CO47,1427026
Meta,15,CO50,1063454
Narino,16,CO52,1627589
Norte de Santander,17,CO54,1620318
Quindio,18,CO63,555401
Risaralda,19,CO66,961055
Santander,20,CO68,2280908
Sucre,21,CO70,949252
Tolima,22,CO73,1339998
Valle del Cauca,23,CO76,4532152
Arauca,24,CO81,294206
Casanare,25,CO85,435195
Putumayo,26,CO86,359127
Archipiiclago de San Andrics,27,CO88,63692
Amazonas,28,CO91,79020
Guaini­a,29,CO94,50636
Guaviare,30,CO95,86657
Vaupics,31,CO97,44712
Vichada,32,CO99,112958
