name,id,iso,population_size,vaccine_hesitant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Afghanistan,0,AF,38041757,0.8844,0.030462,0.02999,0.029597,0.029268,0.02891,0.028747,0.028586,0.028417,0.028226,0.028023,0.027814,0.027491,0.027006,0.026404,0.025781,0.025118,0.02444,0.023768,0.023089,0.022379,0.02166,0.020874,0.019997,0.019067,0.01815,0.017234,0.016379,0.015623,0.014943,0.014271,0.013611,0.013022,0.012525,0.012092,0.011679,0.011295,0.010898,0.010464,0.01001,0.009581,0.00917,0.008766,0.008366,0.007975,0.007596,0.007225,0.00688,0.006567,0.006279,0.006001,0.005734,0.005476,0.005225,0.004981,0.004747,0.004524,0.004305,0.004088,0.003876,0.003672,0.003475,0.003282,0.003095,0.002912,0.002734,0.002558,0.002397,0.002255,0.002126,0.002,0.001883,0.00175,0.001589,0.001413,0.001246,0.001083,0.000937,0.000818,0.000719,0.000623,0.000533,0.000452,0.000378,0.000312,0.000254,0.000202,0.000158,0.000123,9.60E-05,7.10E-05,5.30E-05,4.20E-05,3.00E-05,2.00E-05,1.20E-05,9.00E-06,7.00E-06,5.00E-06,2.00E-06,1.00E-06,1.00E-06
Albania,1,AL,2880913,0.574,0.011299,0.011585,0.011751,0.011817,0.012229,0.011921,0.011639,0.011397,0.011213,0.011057,0.010901,0.010984,0.011413,0.012069,0.012724,0.013422,0.014049,0.014526,0.0149,0.015286,0.015647,0.016004,0.016374,0.016724,0.017003,0.017222,0.01731,0.017227,0.017001,0.016743,0.016483,0.015988,0.01517,0.014163,0.013179,0.01217,0.011385,0.010969,0.010818,0.010659,0.010522,0.010526,0.010693,0.010974,0.011301,0.011693,0.012018,0.012207,0.012314,0.012444,0.01255,0.012739,0.013068,0.013464,0.013804,0.014115,0.014284,0.014241,0.014037,0.013811,0.01356,0.013182,0.012648,0.01201,0.011353,0.010662,0.010018,0.009469,0.008989,0.008489,0.00797,0.007543,0.007248,0.007035,0.006819,0.006623,0.006349,0.005939,0.005443,0.004972,0.00451,0.004043,0.003578,0.003123,0.002675,0.002234,0.001842,0.001522,0.001258,0.000982,0.000769,0.000624,0.000467,0.000297,0.000174,0.000124,9.70E-05,6.70E-05,3.50E-05,1.60E-05,1.70E-05
Algeria,2,DZ,43053054,0.863,0.023642,0.023672,0.023537,0.023253,0.022603,0.022194,0.021662,0.021026,0.020303,0.019532,0.018757,0.017876,0.016861,0.015799,0.014787,0.013784,0.013106,0.012914,0.01307,0.013238,0.013447,0.013807,0.01433,0.014953,0.015606,0.016308,0.016854,0.017138,0.017236,0.017332,0.017388,0.017391,0.017352,0.017261,0.017111,0.016918,0.016623,0.016202,0.01569,0.015157,0.014601,0.014031,0.013463,0.012902,0.012332,0.011749,0.011241,0.010848,0.010534,0.010218,0.009915,0.009618,0.009314,0.009008,0.008719,0.00845,0.008155,0.007816,0.007454,0.007096,0.006725,0.006417,0.006206,0.006051,0.00589,0.005751,0.005514,0.005118,0.004629,0.004164,0.003694,0.003311,0.003072,0.00293,0.002776,0.002632,0.002488,0.002328,0.002161,0.00201,0.001874,0.001727,0.00156,0.001381,0.001212,0.00105,0.000896,0.000753,0.000621,0.000482,0.000367,0.000297,0.000226,0.000153,0.000102,8.00E-05,6.30E-05,4.50E-05,2.60E-05,1.40E-05,2.10E-05
Angola,3,AO,31825299,0.8194,0.037198,0.036455,0.035672,0.034852,0.033998,0.033118,0.032213,0.031286,0.030337,0.02938,0.028423,0.027425,0.026368,0.025282,0.024213,0.023154,0.022157,0.021252,0.02042,0.019607,0.018815,0.01809,0.017447,0.016866,0.016309,0.015781,0.015271,0.01477,0.014279,0.013809,0.013362,0.0129,0.012406,0.011896,0.011403,0.010921,0.010455,0.010009,0.009582,0.009161,0.00874,0.008361,0.008041,0.007758,0.007485,0.007241,0.006938,0.006532,0.006072,0.005634,0.005187,0.004852,0.004692,0.004641,0.004578,0.004533,0.004423,0.004195,0.003895,0.003619,0.003353,0.00309,0.00284,0.002602,0.002364,0.002123,0.001926,0.001791,0.001699,0.00161,0.001534,0.001442,0.001317,0.001172,0.001041,0.000916,0.000805,0.000716,0.000642,0.000571,0.000506,0.000442,0.000375,0.00031,0.000252,0.000198,0.000153,0.000119,9.30E-05,6.90E-05,5.20E-05,4.00E-05,2.90E-05,1.80E-05,1.10E-05,8.00E-06,6.00E-06,4.00E-06,2.00E-06,1.00E-06,1.00E-06
Antigua and Barbuda,4,AG,97115,0.3752,0.014982,0.015168,0.01526,0.01526,0.015322,0.015126,0.0149,0.014673,0.014467,0.014251,0.014045,0.013932,0.013942,0.014066,0.014179,0.014292,0.014467,0.014725,0.015023,0.015332,0.015641,0.015816,0.015775,0.01559,0.015404,0.015219,0.015044,0.01492,0.014838,0.014735,0.014612,0.014529,0.014498,0.014509,0.014519,0.014539,0.014539,0.014488,0.014406,0.014334,0.014261,0.01422,0.014241,0.014292,0.014323,0.014334,0.014354,0.014364,0.014354,0.014323,0.014261,0.014148,0.013932,0.013654,0.013345,0.013026,0.012604,0.012089,0.011492,0.010884,0.010256,0.009659,0.009092,0.008567,0.008021,0.007486,0.007002,0.006611,0.006281,0.005952,0.005653,0.005324,0.004943,0.004531,0.004139,0.003769,0.003419,0.003089,0.002811,0.002533,0.002255,0.002018,0.001812,0.001658,0.001503,0.00138,0.001236,0.001071,0.000896,0.000731,0.000587,0.000494,0.000391,0.000268,0.000196,0.000154,0.000124,9.30E-05,5.10E-05,3.10E-05,4.10E-05
Argentina,5,AR,44780675,0.186,0.01663,0.0167,0.016733,0.016735,0.016762,0.01668,0.016585,0.016482,0.016375,0.016262,0.016139,0.01604,0.015979,0.015944,0.015908,0.015883,0.015841,0.015768,0.015681,0.015597,0.015497,0.01546,0.015524,0.015643,0.015745,0.015854,0.015867,0.015731,0.015495,0.015273,0.015049,0.014826,0.014621,0.014432,0.014222,0.013974,0.013829,0.013846,0.013952,0.014033,0.014134,0.01406,0.013712,0.013188,0.012689,0.012178,0.011722,0.011374,0.011102,0.01081,0.010506,0.010258,0.010085,0.009961,0.009841,0.009737,0.0096,0.009402,0.009165,0.008937,0.008706,0.008487,0.008292,0.00811,0.007915,0.007714,0.007495,0.007251,0.006986,0.006719,0.00645,0.006156,0.005831,0.005485,0.005139,0.00479,0.004457,0.00415,0.003862,0.003575,0.003292,0.003022,0.002764,0.002519,0.002283,0.002059,0.001838,0.001616,0.001399,0.001177,0.001002,0.000862,0.000695,0.000502,0.000365,0.000301,0.000246,0.000181,0.000106,5.90E-05,8.60E-05
Armenia,6,AM,2957728,0.6698,0.013396,0.013874,0.014226,0.014462,0.014494,0.014572,0.014559,0.014464,0.014297,0.014084,0.013848,0.013525,0.013093,0.012609,0.012156,0.011727,0.011414,0.011277,0.011289,0.011331,0.01138,0.011693,0.012374,0.013289,0.014183,0.015078,0.01591,0.016611,0.017188,0.017739,0.018277,0.018511,0.018315,0.017818,0.01729,0.0167,0.016068,0.015438,0.014812,0.01415,0.013468,0.012851,0.01234,0.011917,0.011528,0.011189,0.010933,0.010772,0.010705,0.010673,0.010642,0.010835,0.01134,0.012032,0.01268,0.013313,0.013803,0.01406,0.014121,0.014161,0.014199,0.013902,0.013136,0.012065,0.010976,0.009801,0.00879,0.008093,0.007596,0.007069,0.006596,0.006025,0.005271,0.004445,0.003674,0.002854,0.002465,0.002735,0.003402,0.004024,0.004743,0.005029,0.00459,0.003696,0.0029,0.002077,0.001453,0.001192,0.001164,0.001104,0.001035,0.000911,0.000717,0.000468,0.000274,0.000189,0.000149,0.000109,6.90E-05,4.00E-05,8.80E-05
Aruba,7,AW,106310,0.2375,0.012576,0.011626,0.010959,0.010554,0.010037,0.010272,0.010601,0.010996,0.011438,0.011946,0.01252,0.012962,0.013178,0.013244,0.013329,0.013395,0.013489,0.013668,0.013884,0.014034,0.014119,0.014213,0.014326,0.014429,0.014505,0.014636,0.014392,0.013602,0.012473,0.011419,0.010319,0.009604,0.009538,0.009896,0.010206,0.010573,0.010949,0.01126,0.011561,0.011909,0.012322,0.012708,0.013028,0.01331,0.013611,0.013931,0.014213,0.014448,0.014646,0.014815,0.0149,0.015154,0.015662,0.016283,0.016838,0.017393,0.017599,0.017289,0.016631,0.015972,0.015248,0.014542,0.013959,0.013432,0.01284,0.0122,0.011561,0.010911,0.010262,0.009623,0.008974,0.008325,0.007666,0.006998,0.00634,0.005691,0.005136,0.004694,0.004355,0.004026,0.003716,0.003386,0.00301,0.002587,0.002211,0.001853,0.001533,0.00127,0.001044,0.000818,0.000621,0.000508,0.000386,0.000263,0.000179,0.000141,0.000113,8.50E-05,4.70E-05,1.90E-05,3.80E-05
Australia,8,AU,25203200,0.1686,0.013304,0.013227,0.013157,0.013093,0.012879,0.012911,0.012922,0.012915,0.012888,0.012856,0.012833,0.012746,0.012565,0.012334,0.012123,0.011915,0.011799,0.011825,0.011955,0.012085,0.012221,0.012426,0.012716,0.013058,0.013403,0.013756,0.014062,0.014285,0.014445,0.014592,0.014713,0.014799,0.014851,0.014863,0.014857,0.014863,0.01472,0.014362,0.01388,0.013405,0.012877,0.012572,0.012627,0.012905,0.013146,0.013422,0.013537,0.013374,0.01304,0.012745,0.01243,0.012228,0.012222,0.012333,0.012403,0.012469,0.012454,0.012306,0.012067,0.011836,0.011602,0.011342,0.011056,0.010753,0.01043,0.010069,0.009773,0.009585,0.009453,0.009298,0.009155,0.008882,0.008406,0.007803,0.007219,0.006621,0.006088,0.005674,0.005338,0.004988,0.00464,0.004308,0.00399,0.003684,0.003394,0.003121,0.002844,0.002552,0.002256,0.001955,0.001723,0.001515,0.00125,0.000931,0.000707,0.00061,0.000507,0.000375,0.000213,0.000122,0.000162
Austria,9,AT,8955108,0.27,0.010183,0.010018,0.009869,0.009735,0.009588,0.009503,0.009432,0.009378,0.009342,0.009324,0.009324,0.009354,0.009419,0.009515,0.009635,0.009785,0.00995,0.010124,0.010317,0.01052,0.01071,0.011012,0.01148,0.012042,0.012583,0.01314,0.013542,0.013696,0.013684,0.013673,0.01362,0.013609,0.013698,0.013833,0.013936,0.014058,0.014019,0.013734,0.013308,0.012925,0.012538,0.01233,0.012406,0.012682,0.012933,0.013167,0.013526,0.014045,0.014649,0.015229,0.015815,0.016215,0.016325,0.016222,0.016103,0.015942,0.015672,0.015283,0.014801,0.014285,0.013746,0.013156,0.012513,0.011851,0.011191,0.010515,0.009994,0.00971,0.009589,0.009449,0.009302,0.009214,0.00919,0.009191,0.009189,0.009212,0.009047,0.008592,0.007947,0.007317,0.006671,0.006047,0.005488,0.004977,0.004448,0.003909,0.003434,0.00305,0.002732,0.002408,0.002183,0.001935,0.001598,0.00118,0.000883,0.000767,0.000637,0.000461,0.000238,0.000122,0.000124
