Date_reported,Cumulative_deaths,New_deaths,New_deaths_7_day_rolling_average,New_deaths_21_day_rolling_average
03/01/2020,0,0,0,0.090909091
04/01/2020,0,0,0,0.083333333
05/01/2020,0,0,0,0.076923077
06/01/2020,0,0,0,0.071428571
07/01/2020,0,0,0,0.133333333
08/01/2020,0,0,0,0.125
09/01/2020,0,0,0.142857143,0.176470588
10/01/2020,0,0,0.142857143,0.222222222
11/01/2020,0,0,0.142857143,0.3
12/01/2020,1,1,0.142857143,0.80952381
13/01/2020,1,0,0.142857143,0.857142857
14/01/2020,1,0,0.285714286,1.238095238
15/01/2020,1,0,0.285714286,2
16/01/2020,1,0,0.285714286,2.666666667
17/01/2020,2,1,0.428571429,3.904761905
18/01/2020,2,0,0.714285714,6.238095238
19/01/2020,3,1,2.285714286,6.333333333
20/01/2020,4,1,2.428571429,8.142857143
21/01/2020,6,2,3.428571429,10.14285714
22/01/2020,17,11,5.714285714,12.33333333
23/01/2020,18,1,7.571428571,17.19047619
24/01/2020,26,8,11.14285714,20.23809524
25/01/2020,42,16,17.85714286,23.38095238
26/01/2020,56,14,16.57142857,26.80952381
27/01/2020,82,26,21.85714286,30.14285714
28/01/2020,131,49,26.71428571,34.14285714
29/01/2020,133,2,31,38.28571429
30/01/2020,171,38,43.71428571,43
31/01/2020,213,42,49.14285714,48.04761905
01/02/2020,259,46,51.57142857,52.71428571
02/02/2020,362,103,61.57142857,52.42857143
03/02/2020,426,64,66.14285714,64.42857143
04/02/2020,492,66,72.28571429,71.28571429
05/02/2020,564,72,78.14285714,77.38095238
06/02/2020,634,70,77.71428571,81.66666667
07/02/2020,719,85,83.85714286,85.0952381
08/02/2020,806,87,88.71428571,89.38095238
09/02/2020,906,100,79.14285714,94.66666667
10/02/2020,1013,107,105.2857143,98.9047619
11/02/2020,1113,100,114.8571429,96.95238095
12/02/2020,1118,5,123,104.7142857
13/02/2020,1371,253,123.5714286,100.047619
14/02/2020,1523,152,122.2857143,104.5714286
15/02/2020,1667,144,127.8571429,105.2380952
16/02/2020,1771,104,143.2857143,104.7619048
17/02/2020,1869,98,125.2857143,103.4285714
18/02/2020,2008,139,103.7142857,102.3809524
19/02/2020,2121,113,113,101.3809524
20/02/2020,2248,127,98.85714286,98.85714286
21/02/2020,2249,1,107.5714286,96.9047619
22/02/2020,2458,209,99.14285714,96
23/02/2020,2463,5,91.85714286,100.1428571
24/02/2020,2622,159,79.71428571,92.61904762
25/02/2020,2702,80,88.57142857,90.38095238
26/02/2020,2764,62,68.14285714,89
27/02/2020,2806,42,74.14285714,90.38095238
28/02/2020,2869,63,60.85714286,96.47619048
29/02/2020,2935,66,61,100.1428571
01/03/2020,2982,47,65.28571429,109.2380952
02/03/2020,3048,66,72.85714286,120.7142857
03/03/2020,3129,81,78.85714286,139.0952381
04/03/2020,3221,92,85.85714286,153.1904762
05/03/2020,3316,95,98.14285714,175.3333333
06/03/2020,3421,105,121,203.3333333
07/03/2020,3536,115,140.2857143,237.1428571
08/03/2020,3669,133,170.5714286,278.047619
09/03/2020,3895,226,209.5714286,329.6190476
10/03/2020,4111,216,249.8571429,388.0952381
11/03/2020,4415,304,305.5714286,459.8095238
12/03/2020,4783,368,353.7142857,551.7619048
13/03/2020,5170,387,428.1428571,641.2380952
