"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16"
2.1,0.11,0.06,0.06,0.22,1.06,1.43,0.92,0.37,0.16,0.44,0.79,0.57,0.38,0.11,0.11
1.18,8.62,2.24,0.13,0.29,0.67,1.33,1.56,0.64,0.49,0.13,0.51,0.67,0.71,0.18,0.09
0,3.39,9.61,6.27,0.3,0.34,0.79,1.24,1.24,0.6,0.36,0.19,0.25,0.58,0.12,0.31
0,0.05,6.7,7.35,1.77,1.52,1.9,3.5,3.52,2.3,1.3,1.27,0.3,0.25,0.1,0.62
0.14,0.04,0.07,0.32,2.64,3.96,3.32,3.68,2.64,3,2.25,2.29,0.36,0.07,0.11,0.25
0.15,0.05,0.05,0.17,1.93,3.07,2.39,2.51,1.88,1.93,1.46,2.15,0.51,0.2,0.07,0.07
0.5,0.48,0.1,0.27,1.58,3.19,4.62,4.65,2.15,2.29,1.75,1.98,0.88,0.29,0.17,0.17
0.07,0.21,0.56,0.16,1.16,1.79,2.7,3.19,1.77,1.77,1.33,1.26,0.72,0.42,0.28,0.14
0,0.12,0.39,0.3,0.79,1.06,1.55,3.03,2.7,4.06,2,1.79,0.36,0.85,0.52,0.27
0.04,0.15,0.38,0.31,0.91,1.18,1.65,2.24,2.16,3.31,2.07,1.73,0.87,0.76,0.82,0.98
0.11,0.06,0.11,0.11,0.5,1.36,1.03,1.53,2.25,2.53,2.17,1.58,1.22,0.58,0.75,1.31
0.06,0.08,0.16,0.04,0.47,1.12,1.06,1.69,1.67,1.73,1.45,2.25,1.41,0.76,1.31,1.24
0.03,0.05,0.13,0.03,0.16,0.52,0.72,1.18,0.67,0.54,1.23,1.64,1.82,1.26,0.77,0.8
0.08,0.08,0.06,0.02,0.1,0.29,0.43,0.94,0.88,0.94,0.78,1.51,2.08,3.63,1.18,1.37
0.02,0.22,0.08,0.06,0.09,0.31,0.25,0.52,0.69,0.77,0.95,0.78,1.46,1.86,1.63,1.46
0,0.02,0.02,0.07,0.11,0.18,0.07,0.24,0.33,0.42,0.4,0.64,1.2,1.16,1.09,3.82
